#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Status
Faba bean necrotic yellows C9 alphasatellite,1453083,PRJNA254346,254346,Satellites,unclassified,1.007,38.5,plants, Unknown:NC_003567.1/AJ132187.1,1,1,1999/06/02,2014/07/31,Complete Genome
Faba bean necrotic yellows C7 alphasatellite,1453082,PRJNA254347,254347,Satellites,unclassified,1.015,39,plants, Unknown:NC_003565.1/AJ132185.1,1,1,1999/06/02,2014/07/31,Complete Genome
Faba bean necrotic yellows C11 alphasatellite,1453081,PRJNA254348,254348,Satellites,unclassified,1.004,40.1,plants, Unknown:NC_003558.1/AJ005968.1,1,1,1998/09/04,2014/07/31,Complete Genome
Solanum mosaic Bolivia virus,932073,PRJNA252618,252618,ssDNA viruses,Geminiviridae,2.602,41.9,plants, DNA A:NC_024304.1/HM585435.1,5,5,2011/01/15,2015/10/20,Complete Genome
Bovine astrovirus,1435485,PRJNA252619,252619,ssRNA viruses,Astroviridae,6.233,53.5,vertebrates, Unknown:NC_024297.1/KJ620979.1,3,3,2014/06/04,2014/06/13,Complete Genome
Pagoda yellow mosaic associated virus,1505530,PRJNA252620,252620,Retro-transcribing viruses,Caulimoviridae,7.424,48.4,plants, Unknown:NC_024301.1/KJ013302.1,5,5,2014/06/10,2014/06/13,Complete Genome
Sclerotinia sclerotiorum debilitation-associated RNA virus 2,1502101,PRJNA252621,252621,ssRNA viruses,unclassified,5.534,42.1,plants, Unknown:NC_024298.1/KJ561219.1,1,1,2014/06/03,2014/06/13,Complete Genome
Fulmarus glacialis papillomavirus 1,1463817,PRJNA252623,252623,"dsDNA viruses, no RNA stage",Papillomaviridae,8.132,48.1,vertebrates, Unknown:NC_024300.1/KJ452243.1,12,12,2014/06/01,2014/06/13,Complete Genome
Nienokoue virus,1286143,PRJNA252624,252624,ssRNA viruses,Flaviviridae,10.878,49.8,invertebrates,NC_024299.2/JQ957875.2,1,1,2014/06/01,2017/01/09,Complete Genome
Bovine gammaherpesvirus 6,1504288,PRJNA252717,252717,"dsDNA viruses, no RNA stage",Herpesviridae,144.898,43.1,vertebrates, Unknown:NC_024303.1/KJ705001.1,79,79,2014/06/08,2014/07/31,Complete Genome
Fruit bat alphaherpesvirus 1,1343901,PRJNA252745,252745,"dsDNA viruses, no RNA stage",Herpesviridae,149.459,60.9,vertebrates, Unknown:NC_024306.1/AB825953.1,72,70,2014/06/12,2015/05/16,Complete Genome
Pseudomonas phage JD024,1481224,PRJNA253206,253206,"dsDNA viruses, no RNA stage",Siphoviridae,37.38,64.2,bacteria, Unknown:NC_024330.1/KJ477077.1,58,58,2014/04/07,2014/06/23,Complete Genome
Sida yellow vein alphasatellite,1506184,PRJNA253217,253217,Satellites,unclassified,1.374,42.3,plants, Unknown:NC_024372.1/KJ614231.1,1,1,2014/06/15,2016/03/28,Complete Genome
Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],1506157,PRJNA253218,253218,Satellites,Tolecusatellitidae,1.353,41.5,plants, Unknown:NC_024373.1/KJ614230.1,1,1,2014/06/15,2014/06/23,Complete Genome
Streptococcus phage DCC1738,1448273,PRJNA253219,253219,unclassified phages,unclassified,38.392,40.8,bacteria, Unknown:NC_024361.1/HG799497.1,57,56,2014/05/29,2014/11/06,Complete Genome
Streptococcus phage IC1,1448276,PRJNA253220,253220,unclassified phages,unclassified,39.965,41.1,bacteria, Unknown:NC_024370.1/HG799490.1,49,49,2014/05/29,2014/11/06,Complete Genome
Listeria phage List-36,1486422,PRJNA253221,253221,"dsDNA viruses, no RNA stage",Myoviridae,131.952,36,bacteria, Unknown:NC_024364.1/KJ535721.1,187,174,2014/06/03,2014/06/23,Complete Genome
Pseudomonas phage phiPSA1,1500757,PRJNA253222,253222,"dsDNA viruses, no RNA stage",Siphoviridae,51.09,58.6,bacteria, Unknown:NC_024365.1/KJ507100.1,52,52,2014/05/24,2014/06/23,Complete Genome
Streptococcus phage K13,1448274,PRJNA253223,253223,unclassified phages,unclassified,39.36,40.6,bacteria, Unknown:NC_024357.1/HG799496.1,54,53,2014/05/29,2014/11/06,Complete Genome
Chilli leaf curl alphasatellite,1428342,PRJNA253224,253224,Satellites,unclassified,1.392,42.5,plants, Unknown:NC_024374.1/KF471047.1,1,1,2014/06/13,2014/06/23,Complete Genome
Listeria phage LMSP-25,1486421,PRJNA253225,253225,"dsDNA viruses, no RNA stage",Myoviridae,138.036,35.9,bacteria, Unknown:NC_024360.1/KJ535722.1,201,187,2014/06/03,2014/06/23,Complete Genome
